identifiantReferentiel,titre,unite,titreCourt,titreLong,parents,categories,thematiques,actionIds,valeurCalcule,participationScore,sansValeurUtilisateur,borneMin,borneMax,precision,description,exprCible,exprSeuil,libelleCibleSeuil
cae_40.a,Consommation annuelle d'énergie des véhicules par agent,kWh/an.employé,,Consommation annuelle d'énergie des véhicules de la collectivité (kWh/an.employé),cae_40,cae,mobilite_et_transport,cae_4.1.2,,FALSE,FALSE,,,2,,,,
cae_40.b,Consommation annuelle d'énergie des véhicules par km,kWh/an.km,,Consommation annuelle d'énergie des véhicules de la collectivité (kWh/an.km),cae_40,cae,mobilite_et_transport,cae_4.1.2,,FALSE,FALSE,,,2,,,,
cae_41,Part modale des déplacements alternatifs à la voiture individuelle des agents de la collectivité,%,,Part modale des déplacements alternatifs à la voiture individuelle pour les déplacements domicile-travail des agents de la collectivité,,"SYDEV, cae",mobilite_et_transport,cae_4.1.2,,FALSE,FALSE,,,2,"Via une enquête réalisée auprès des agents, l’indicateur mesure la part modale (en nombre de déplacements) cumulée des déplacements alternatifs à la voiture individuelle (somme des parts modales marche, vélo, transport e commun, co-voiturage) dans les déplacements domicile-travail des agents. L’indicateur est décliné si possible également en kilomètres parcourus.",,,
cae_42,Stationnement public voiture par habitant,nombre/habitant,,Nombre de places de stationnement public pour les voitures par habitant,,cae,mobilite_et_transport,cae_4.2.1,,FALSE,FALSE,,,2,"L'indicateur mesure le nombre de places de stationnement public pour les voitures par habitant (stationnements publics gratuit ou payant, sur voirie ou dans des ouvrages, exploité en régie par la collectivité –commune ou EPCI- ou délégué). Si le périmètre suivi est partiel, l’indiquer en commentaire.",,,
cae_43,Part de voiries « apaisées »,%,,Part de voiries « apaisées » (%),,cae,mobilite_et_transport,"cae_4.2.2, cae_4.3.1",,FALSE,FALSE,,,2,"L’indicateur mesure la part des voiries où un dispositif règlementaire permet l’apaisement de la circulation (réduction des vitesses en dessous de 50 km/heures ou limitation de la circulation) par rapport au linéaire total de voirie de la collectivité. Les dispositifs pris en compte sont les zones de rencontre, les zones 30, les aires piétonnes, les zones de circulation restreinte.",,,
cae_44,Part de voiries aménagées pour les cycles,%,,Part de voiries aménagées pour les cycles,,"SYDEV, clef, cae",mobilite_et_transport,cae_4.3.2,,TRUE,FALSE,,,2,"L'indicateur mesure le kilométrage de voiries aménagées (pistes le long de la voirie, bandes cyclables et couloirs bus autorisés aux vélos, les zones 30, les aires piétonnes…) sur le kilométrage total de voirie. Les aménagements à double-sens compte pour 1, les sens unique pour 0,5 ; les aménagements hors voirie ne sont pas pris en compte (voies vertes, pistes ne suivant pas le tracé de la voirie, allées de parcs, ...). Les valeurs de références sont basées sur un traitement des données du Club des villes et territoires cyclables, dans le cadre de l’Observatoire des mobilités actives, enquête 2015-2016.

-   Valeurs limites : 25% ou 1 km/1000 hab (ville) et 20% ou 0,8 km/1000 hab (EPCI)
    
-   Valeurs cibles (objectifs) : 50% ou 2 km/1000 hab (ville) et 40% ou 1,5 km/1000 hab (EPCI)
    

Un indicateur en km/1000 habitants peut être utilisé : il est à construire dans les indicateurs personnalisés.","si identite(type, commune) alors 50 sinon si identite(type, EPCI) alors 40","si identite(type, commune) alors 25 sinon si identite(type, EPCI) alors 20",Valeurs cible et limite définies par le programme T.E.T.E.
cae_45,Stationnement vélo pour 100 habitants,nb/100 habitants,,Nombre de places de stationnement vélo pour 100 habitants,,"SYDEV, clef, cae, agregation",mobilite_et_transport,cae_4.3.2,opt_val(cae_45.a)+opt_val(cae_45.b)+opt_val(cae_45.c)+opt_val(cae_45.d),TRUE,FALSE,,,2,"L'indicateur mesure le nombre de places de stationnement vélo pour 100 habitants : arceaux sur l’espace public, consignes ou boxes à vélos, stationnements vélos en gare, en parking automobiles... Attention, les stationnements de type râtelier vélo ou « pince-roues » sur l’espace public, qui ne permettent pas une accroche sécuritaire, ne sont pas pris en compte.

-   Valeurs limites : 2 (commune) et 1 (EPCI)
    
-   Valeurs cibles : 4 (communes) et 2 (EPCI)
    

Pour les collectivités rurales, se focaliser sur la présence d’abris et de stationnements proposés aux endroits clés (centres bourgs, autour des écoles et pôles d’activités, lieux publics de rencontre, commerces, etc).","si identite(type, commune) alors 4 sinon si identite(type, EPCI) alors 2","si identite(type, commune) alors 2 sinon si identite(type, EPCI) alors 1",Valeurs cible et limite définies par le programme T.E.T.E.
cae_45.a,Stationnement vélo pour 100 habitants - Cadre,nb/100 habitants,Cadre,Nombre de places de stationnement vélo (cadre) pour 100 habitants,cae_45,,mobilite_et_transport,,,FALSE,FALSE,,,2,,,,
cae_45.b,Stationnement vélo pour 100 habitants - Cadre et roue,nb/100 habitants,Cadre et roue,Nombre de places de stationnement vélo (cadre et roue) pour 100 habitants,cae_45,,mobilite_et_transport,,,FALSE,FALSE,,,2,,,,
cae_45.c,Stationnement vélo pour 100 habitants - Roue,nb/100 habitants,Roue,Nombre de places de stationnement vélo (roue) pour 100 habitants,cae_45,,mobilite_et_transport,,,FALSE,FALSE,,,2,,,,
