,nom,siren,nature
1184,CC du Pays de l'Arbresle (CCPA),246900625,CC
1185,CC des Vallons du Lyonnais (CCVL),246900724,CC
1186,CC du Pays Mornantais (COPAMO),246900740,CC
1187,CC de la Vallée du Garon (CCVG),246900757,CC
1188,CC du Pays de l'Ozon,246900765,CC
1189,Métropole de Lyon,200046977,MET69
1190,SM de l'Ouest Lyonnais,200035046,SMF
1191,"SM d'élimination, de traitement et de valorisation des déchets Beaujolais Dombes (SYTRAIVAL)",256900705,SMF
1192,SI de collecte et de traitement des ordures ménagères (SITOM Sud Rhône),256901133,SMF
1193,CA de Vesoul,247000011,CA
1194,CC des Hauts du Val de Saône,200036150,CC
1195,CC Val de Gray,200036549,CC
1196,CC de la Haute Comté,200041721,CC
1197,CC du Pays de Montbozon et du Chanois,200041853,CC
1198,CC du Triangle Vert,200041861,CC
1199,CC Terres de Saône,200041879,CC
1200,CC du Val Marnaysien,200041887,CC
1201,CC des Combes,247000367,CC
1202,CC des Quatre Rivières,247000623,CC
1203,CC du Pays de Lure,247000664,CC
1204,CC des Monts de Gy,247000698,CC
1205,CC du Pays Riolais,247000706,CC
1206,CC du Pays de Villersexel,247000714,CC
1207,CC du Pays d'Héricourt,247000722,CC
1208,CC du Pays de Luxeuil,247000755,CC
1209,CC Rahin et Chérimont,247000821,CC
1210,CC des 1000 étangs,247000854,CC
1211,Syndicat de collecte des ordures ménagères du Val de Saône,257001024,SMF
1212,SM de collecte des déchets ménagers des 2 rivières,257001040,SMF
1213,SYTEVOM SYndicat Transfert Elimination Valorisation des Ordures énagères,257003426,SMF
1214,CU Le Creusot Montceau-les-Mines,247100290,CU
1215,CA Mâconnais Beaujolais Agglomération,200070308,CA
1216,CA Le Grand Chalon,247100589,CA
1217,CC Saône Doubs Bresse,200040038,CC
1218,CC du Clunisois,200040293,CC
1219,CC Bresse Revermont 71,200042414,CC
1220,CC Mâconnais - Tournugeois,200069698,CC
1221,"CC Entre Arroux, Loire et Somme",200070316,CC
1222,CC du Grand Autunois Morvan,200070530,CC
1223,CC Brionnais Sud Bourgogne,200070548,CC
1224,CC Terres de Bresse,200071538,CC
1225,CC Bresse Louhannaise Intercom',200071579,CC
1226,CC Saint Cyr Mère Boitier entre Charolais et Mâconnais,200071645,CC
1227,CC Le Grand Charolais,200071884,CC
1228,CC de Marcigny,247100639,CC
1229,CC Bresse Nord Intercom',247100647,CC
1230,CC Entre Saône et Grosne,247103765,CC
1231,CC de Semur en Brionnais,247103864,CC
1232,CC  Sud Côte Chalonnaise,247104094,CC
1233,SIVOM de l'Arçon et de l'Urbise,247100019,SIVOM
1234,SI de collecte et d'élimination des déchets de Bresse Nord,200053122,SMF
1235,SIVOM du Louhannais,200075307,SMF
1236,SIRTOM de la région de Chagny,257102541,SMF
1237,SIRTOM de la vallée de la Grosne,257102830,SMF
1238,SM d'études et de traitement des déchets,257103341,SMF
1239,SM d'élimination et de valorisation des déchets et ordures ménagères (SMEVOM) du Charollais-Brionnais et Autunois,257103846,SMF
1240,CU Le Mans Métropole,247200132,CU
1241,CC Loué - Brûlon - Noyen,200040475,CC
1242,CC Maine Coeur de Sarthe,200068963,CC
